,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean
0,First Derivatives,,33060.0,40020.0,35518.62,,,,Data Scientist
1,Deliveroo,,66120.0,226200.0,110952.84,,,,Data Scientist
2,Barclays,,69600.0,133980.0,92635.86,5569.74,5569.74,,Data Scientist
3,Lloyds Banking Group,,34800.0,182700.0,103016.7,13907.82,13907.82,5258.28,Data Scientist
4,THG,,60900.0,88740.0,72545.81999999999,6270.96,6270.96,,Data Scientist
5,NatWest Group,,57420.0,168780.0,104111.16,3521.76,3521.76,,Data Scientist
6,Tesco,,74820.0,104400.0,84038.52,,,,Data Scientist
7,QuantumBlack,,88740.0,127020.0,107782.56,10420.86,10420.86,,Data Scientist
8,J Sainsbury,,55680.0,83520.0,72022.08,2293.32,2293.32,,Data Scientist
9,PwC,,46980.0,95700.0,76878.42,3535.68,3535.68,,Data Scientist
10,HSBC Holdings,,69600.0,121800.0,89441.22,8700.0,8700.0,,Data Scientist
11,Vodafone,,53940.0,116580.0,103340.34,10285.14,10285.14,,Data Scientist
12,Capgemini,,43500.0,109620.0,98282.16,,,,Data Scientist
13,IQVIA,,57420.0,133980.0,100152.66,11470.08,11470.08,,Data Scientist
14,Facebook,,118320.0,175740.0,147703.38,13373.64,13373.64,69344.22,Data Scientist
15,Admiral Group,,33060.0,52200.0,48780.9,1889.64,1889.64,4649.28,Data Scientist
16,Mango Solutions,,67860.0,87000.0,73969.14,1748.7,1748.7,,Data Scientist
17,Faculty,,88740.0,113100.0,104518.32,,,,Data Scientist
18,Deloitte,,57420.0,73080.0,69472.98,353.22,353.22,,Data Scientist
19,BBC,,59160.0,90480.0,73351.44,,,,Data Scientist
20,Unilever,,66120.0,104400.0,69252.0,6250.08,6250.08,,Data Scientist
21,BAE Systems Applied Intelligence,,71340.0,93960.0,77316.9,5625.42,5625.42,826.5,Data Scientist
22,Ocado Group,,62640.0,78300.0,71675.81999999999,,,,Data Scientist
23,easyJet,,95700.0,104400.0,97262.52,9731.82,9731.82,,Data Scientist
24,dunnhumby,,71340.0,165300.0,93375.36,8437.26,8437.26,,Data Scientist
25,iwoca,,78300.0,125280.0,103636.14,,,,Data Scientist
26,Peak (UK),,52200.0,87000.0,58942.5,1733.04,1733.04,3453.9,Data Scientist
27,Department for Work And Pensions,,50460.0,97440.0,75392.46,870.0,870.0,,Data Scientist
28,IBM,,78300.0,90480.0,84360.42,,,,Data Scientist
29,Capita,,64380.0,80040.0,74344.98,,,,Data Scientist
30,Santander,,87000.0,144420.0,104535.72,5260.02,5260.02,12270.48,Data Scientist
31,Centrica,,69600.0,93960.0,79354.44,5510.58,5510.58,,Data Scientist
32,TUI Group,,50460.0,93960.0,73990.02,3483.48,3483.48,,Data Scientist
33,Tesco Bank,,74820.0,83520.0,81233.64,9651.78,9651.78,,Data Scientist
34,Babylon Health,,78300.0,130500.0,86752.92,,,,Data Scientist
35,Moneysupermarket Group,,53940.0,74820.0,66227.88,11052.48,11052.48,,Data Scientist
36,King,,76560.0,104400.0,89973.66,13276.2,12197.4,15231.96,Data Scientist
37,Zopa,,74820.0,104400.0,86681.58,,,,Data Scientist
38,Toumetis,,52200.0,106140.0,70405.62,,,,Data Scientist
39,Pairview,,60900.0,78300.0,,,,,Data Scientist
40,Amazon,,60900.0,174000.0,130726.2,,,,Data Scientist
41,J.P. Morgan,,43500.0,158340.0,,,,,Data Scientist
42,BT,,67860.0,97440.0,69600.0,1748.7,1748.7,,Data Scientist
43,Sky,,81780.0,127020.0,91266.48,7301.04,7301.04,,Data Scientist
44,Bloomberg L.P.,,88740.0,135720.0,121354.56,6947.82,6947.82,,Data Scientist
45,Microsoft,,90480.0,121800.0,97885.44,22858.38,22858.38,13443.24,Data Scientist
46,Google,,90480.0,130500.0,127568.1,27594.66,27594.66,78373.08,Data Scientist
47,Aviva,,43500.0,123540.0,52008.6,868.26,868.26,,Data Scientist
48,AstraZeneca,,73080.0,123540.0,88386.78,,,,Data Scientist
49,Experian,,106140.0,113100.0,107782.56,1795.68,1795.68,,Data Scientist
50,McLaren Group,,81780.0,90480.0,83443.44,3476.52,3476.52,,Data Scientist
51,BGL Group,,62640.0,95700.0,83711.4,4501.38,8371.14,633.36,Data Scientist
52,IG,,73080.0,95700.0,78367.86,7013.94,7013.94,,Data Scientist
53,Elsevier,,93960.0,172260.0,128518.14,13841.7,13841.7,16260.3,Data Scientist
54,PlayStation,,87000.0,1567740.0,90333.84,14454.18,14454.18,,Data Scientist
55,Revolut,,113100.0,135720.0,122252.4,,,17433.06,Data Scientist
56,Funding Circle,,78300.0,174000.0,87081.78,,,1492.92,Data Scientist
57,Rank Group,,48720.0,99180.0,83051.94,,,,Data Scientist
58,carwow,,88740.0,111360.0,90901.08,,,1762.62,Data Scientist
59,Brandwatch,,62640.0,80040.0,74106.6,,,,Data Scientist
60,Black Swan Data,,95700.0,118320.0,112997.34,,,,Data Scientist
61,Tessella,,53940.0,60900.0,54672.54,,,,Data Scientist
62,Signal AI,,81780.0,125280.0,84931.14,,,,Data Scientist
63,LoopMe,,69600.0,87000.0,69462.54,7998.78,7998.78,8708.7,Data Scientist
64,Imagini Holdings,,80040.0,113100.0,83377.31999999999,,,,Data Scientist
65,Advizzo,,67860.0,69600.0,68684.76,,,,Data Scientist
66,causaLens,,52200.0,69600.0,62930.58,,,,Data Scientist
67,NHS,,48720.0,67860.0,58290.0,58290.0,,,Data Scientist
68,KPMG,,83520.0,107880.0,96570.0,96570.0,1698.24,,Data Scientist
69,ASDA,,45240.0,59160.0,53070.0,53070.0,,,Data Scientist
70,John Lewis & Partners,,80040.0,87000.0,83520.0,83520.0,,,Data Scientist
71,Deutsche Bank,,106140.0,140940.0,122670.0,122670.0,8700.0,,Data Scientist
72,Co-op,,45240.0,50460.0,47850.0,47850.0,,,Data Scientist
73,Royal Mail,,80040.0,146160.0,112230.0,112230.0,1748.7,9570.0,Data Scientist
74,Virgin Media,,71340.0,104400.0,88740.0,88740.0,14790.0,,Data Scientist
75,Communities & Local Government,,46980.0,55680.0,52200.0,52200.0,,,Data Scientist
76,Cisco Systems,,73080.0,85260.0,79170.0,79170.0,14790.0,43500.0,Data Scientist
77,BAE Systems UK,,59160.0,125280.0,93090.0,93090.0,,,Data Scientist
78,Shell,,95700.0,144420.0,120060.0,120060.0,17400.0,,Data Scientist
79,SSE,,206294.4,228009.6,,,,,Data Scientist
80,Expedia Group,,93960.0,118320.0,106140.0,106140.0,12180.0,12180.0,Data Scientist
81,Facebook,93960.0,6960.0,8700.0,,,,,Data Scientist Intern
82,EDF,,59160.0,81780.0,70470.0,70470.0,,,Data Scientist
83,University of Glasgow,,53940.0,90480.0,72210.0,72210.0,,,Data Scientist
84,Bank of England,,106140.0,137460.0,120930.0,120930.0,,5220.0,Data Scientist
85,Defence Science and Technology Laboratory,,38280.0,60900.0,50460.0,50460.0,,,Data Scientist
86,The British Library,,55680.0,66120.0,60900.0,60900.0,,,Data Scientist
87,Home Office,,57420.0,67860.0,62640.0,62640.0,,,Data Scientist
88,Skyscanner,,66120.0,125280.0,96570.0,96570.0,68730.0,,Data Scientist
89,Bulb,,60900.0,198360.0,129630.0,129630.0,6090.0,,Data Scientist
90,The Very Group,,64380.0,95700.0,80040.0,80040.0,5220.0,,Data Scientist
91,Ocado Technology,,71340.0,95700.0,84390.0,84390.0,,,Data Scientist
92,Cooper Lomaz,,62640.0,109620.0,86130.0,86130.0,,,Data Scientist
93,ScottishPower,,59160.0,73080.0,66120.0,66120.0,5220.0,,Data Scientist
94,Avon,,78300.0,85260.0,81780.0,81780.0,6960.0,,Data Scientist
95,Reed Business Information,,66120.0,73080.0,67860.0,67860.0,,,Data Scientist
96,FARFETCH,,80040.0,118320.0,100050.0,100050.0,1701.72,8700.0,Data Scientist
97,Abcam,,69600.0,81780.0,75690.0,75690.0,,,Data Scientist
98,Kubrick Group,,52200.0,59160.0,55680.0,55680.0,13050.0,,Data Scientist
99,DAZN,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
100,Qubit,,97440.0,109620.0,101790.0,101790.0,26.1,,Data Scientist
101,Hitachi Rail,,38280.0,41760.0,40020.0,40020.0,,,Data Scientist
102,The Institution of Engineering and Technology,,52200.0,67860.0,60030.0,60030.0,,,Data Scientist
103,GroupM,,74820.0,127020.0,101790.0,101790.0,,,Data Scientist
104,ICIS,,59160.0,67860.0,64380.0,64380.0,,,Data Scientist
105,Smarkets,,83520.0,135720.0,108750.0,108750.0,,,Data Scientist
106,Agilent Technologies,,67860.0,74820.0,71340.0,71340.0,1743.48,878.7,Data Scientist
107,Valtech,,88740.0,114840.0,100920.0,100920.0,6090.0,,Data Scientist
108,Liberty Global,,74820.0,88740.0,81780.0,81780.0,,,Data Scientist
109,Product Madness,,52200.0,90480.0,71340.0,71340.0,,,Data Scientist
110,Mudano,,83520.0,128760.0,105270.0,105270.0,,,Data Scientist
111,Summit,,74820.0,81780.0,77430.0,77430.0,,,Data Scientist
112,Skimlinks,,95700.0,106140.0,100050.0,100050.0,3480.0,,Data Scientist
113,QuantumBlack,,67860.0,92220.0,,,,,Data Scientist Intern
114,Quantexa,,33060.0,168780.0,101790.0,101790.0,16530.0,,Data Scientist
115,RES,,53940.0,64380.0,59160.0,59160.0,12180.0,,Data Scientist
116,Drover ,,57420.0,76560.0,66990.0,66990.0,,,Data Scientist
117,Owlstone Medical,,46980.0,62640.0,55680.0,55680.0,,,Data Scientist
118,Football Radar,,80040.0,87000.0,83520.0,83520.0,,,Data Scientist
119,Pusher,,74820.0,81780.0,77430.0,77430.0,,,Data Scientist
120,Profusion,,57420.0,71340.0,65250.0,65250.0,3.48,,Data Scientist
121,BenevolentAI,,99180.0,116580.0,107010.0,107010.0,,,Data Scientist
122,Aridhia Informatics,,50460.0,55680.0,51330.0,51330.0,,,Data Scientist
